iter	Passed	Remaining
0	0	81
1	1	72
2	2	68
3	2	63
4	3	62
5	3	61
6	4	60
7	5	59
8	5	58
9	6	58
10	7	57
11	7	56
12	8	55
13	8	55
14	9	54
15	10	53
16	10	52
17	11	52
18	12	51
19	12	50
20	13	50
21	13	49
22	14	48
23	15	48
24	15	47
25	16	46
26	17	46
27	17	45
28	18	44
29	18	44
30	19	43
31	20	42
32	20	42
33	21	41
34	22	40
35	22	40
36	23	39
37	23	39
38	24	38
39	25	37
40	25	37
41	26	36
42	26	35
43	27	35
44	28	34
45	28	33
46	29	33
47	30	32
48	30	32
49	31	31
50	32	30
51	32	30
52	33	29
53	33	28
54	34	28
55	34	27
56	35	26
57	36	26
58	36	25
59	37	24
60	38	24
61	38	23
62	39	23
63	39	22
64	40	21
65	41	21
66	41	20
67	42	19
68	43	19
69	43	18
70	44	18
71	44	17
72	45	16
73	46	16
74	46	15
75	47	14
76	48	14
77	48	13
78	49	13
79	49	12
80	50	11
81	51	11
82	51	10
83	52	9
84	53	9
85	53	8
86	54	8
87	55	7
88	55	6
89	56	6
90	56	5
91	57	4
92	58	4
93	58	3
94	59	3
95	59	2
96	60	1
97	61	1
98	61	0
99	62	0
